country,province,region_1,region_2
Austria,Leithaberg,"",""
France,Burgundy,Chambertin,""
US,Ohio,Isle St. George,""
Italy,Piedmont,Carema,""
Turkey,Cappadocia,"",""
US,California,Mendocino-Lake County-Napa,North Coast
US,Oregon,Walla Walla Valley (OR),Oregon Other
Bulgaria,Thracian Valley,"",""
Spain,Northern Spain,Rueda,""
Spain,Central Spain,Vino de la Tierra de Castilla,""
Greece,Peloponnese,"",""
France,Burgundy,Corton Grèves,""
Australia,New South Wales,Mudgee,""
Australia,New South Wales,Riverina,""
Romania,Viile Timis,"",""
Italy,Central Italy,Colline Teramane,""
Montenegro,Lake Skadar Valley,"",""
US,Washington,Yakima Valley,Columbia Valley
Italy,Central Italy,Torgiano Rosso Riserva,""
Italy,Veneto,Soave Superiore,""
France,Southwest France,Monbazillac,""
Argentina,Other,Aminga Valley,""
Italy,Veneto,Recioto della Valpolicella Valpantena,""
Italy,Sicily & Sardinia,Moscato di Pantelleria,""
Germany,Nahe,"",""
Italy,Veneto,Prosecco di Conegliano e Valdobbiadene,""
Italy,Central Italy,Colli Perugini,""
South Africa,Tulbagh,"",""
Italy,Veneto,Recioto di Soave,""
Romania,Dealurile Munteniei,"",""
US,California,Sonoma,Sonoma
US,California,Sonoma-Santa Barbara-Mendocino,California Other
Italy,Southern Italy,Catalanesca del Monte Somma,""
US,California,Contra Costa County,Central Coast
Australia,South Australia,Limestone Coast,""
Greece,Beotia,"",""
Spain,Galicia,Monterrei,""
France,Burgundy,Mâcon-Vergisson,""
Italy,Southern Italy,Ischia,""
France,Languedoc-Roussillon,Muscat de Saint-Jean de Minervois,""
Australia,Queensland,Granite Belt,""
France,Languedoc-Roussillon,Collioure,""
France,Bordeaux,Cadillac Côtes de Bordeaux,""
France,France Other,Mediterranée,""
France,Burgundy,Chorey-lès-Beaune,""
Italy,Tuscany,Chianti Colli Senesi,""
Italy,Central Italy,Falerio,""
Australia,Victoria,Nagambie Lakes,""
Portugal,Duriense,"",""
Chile,Coelemu,"",""
Greece,Pageon,"",""
Italy,Northeastern Italy,Benaco Bresciano,""
Romania,Plaiurile Drancei,"",""
South Africa,Franschhoek,"",""
Italy,Tuscany,Chianti Rufina,""
Greece,Halkidiki,"",""
France,France Other,Crémant de Jura,""
France,Southwest France,Côtes de Saint-Mont,""
US,Virginia,Albemarle County,""
Chile,Elqui Valley,"",""
Italy,Lombardy,Valtellina,""
New Zealand,Waipara,"",""
Uruguay,Montevideo,"",""
France,Rhône Valley,Côtes-du-Ventoux,""
France,Burgundy,Mâcon-Charnay,""
Croatia,Dingač,"",""
France,Languedoc-Roussillon,Rivesaltes Rosé,""
Romania,Transylvanian Plateau,"",""
Bulgaria,Rose Valley,"",""
France,Burgundy,Vosne-Romanée,""
France,Burgundy,Hautes Cotes de Beaune,""
Greece,Florina,"",""
US,North Carolina,Swan Creek,""
Italy,Southern Italy,Penisola Sorrentina,""
Spain,Northern Spain,Getariako Txakolina,""
US,Massachusetts,Massachusetts,""
Portugal,Colares,"",""
Italy,Southern Italy,Brindisi,""
France,Languedoc-Roussillon,Crémant de Limoux,""
US,California,Atlas Peak,Napa
Italy,Southern Italy,Falanghina del Sannio,""
Greece,Sithonia,"",""
Italy,Central Italy,Sagrantino di Montefalco,""
Chile,Cauquenes Valley,"",""
Australia,South Australia,Fleurieu Peninsula,""
Greece,Vin de Pays d'Imathia,"",""
Australia,Western Australia,Frankland River,""
France,Languedoc-Roussillon,Sable de Camargue,""
France,Beaujolais,Juliénas,""
Italy,Central Italy,Lambrusco dell'Emilia,""
Portugal,Alenteo,"",""
France,Rhône Valley,Côtes du Rhône,""
Germany,Franken,"",""
Italy,Veneto,Rosso del Veronese,""
Turkey,Turkey,"",""
France,Burgundy,Mâcon Chaintré,""
Italy,Tuscany,Chianti Montespertoli,""
France,Burgundy,Burgundy,""
US,California,Paso Robles Highlands District,Central Coast
US,Oregon,Chehalem Mountains,Willamette Valley
US,Washington,Wahluke Slope,Columbia Valley
Italy,Northeastern Italy,Trentino,""
US,Oregon,Columbia Gorge (OR),Oregon Other
Italy,Southern Italy,Primitivo del Salento,""
Italy,Southern Italy,Cacc’e Mmitte di Lucera,""
US,Washington,Washington,Washington Other
Spain,Catalonia,Catalunya,""
US,California,Stags Leap District,Napa
Chile,Chile,"",""
Italy,Tuscany,Bolgheri Superiore,""
Spain,Catalonia,Montsant,""
Uruguay,Atlantida,"",""
Italy,Piedmont,Colline Novaresi,""
US,California,Pine Mountain-Cloverdale Peak,Sonoma
France,Southwest France,Buzet,""
Croatia,Middle and South Dalmatia,"",""
Spain,Levante,Vino de la Tierra de Castelló,""
US,California,California-Washington,""
US,California,Napa Valley,Napa
France,Alsace,Alsace,""
US,California,Bennett Valley,Sonoma
France,Bordeaux,Graves,""
Italy,Central Italy,Emilia-Romagna,""
France,Bordeaux,"",""
Greece,Goumenissa,"",""
South Africa,Vlootenburg,"",""
US,California,Monterey-San Luis Obispo-Santa Barbara,Central Coast
Slovenia,Slovenska Istra,"",""
Italy,Tuscany,Chianti Classico,""
Portugal,Beira Interior,"",""
France,Rhône Valley,"",""
Chile,Lolol Valley,"",""
Italy,Sicily & Sardinia,Romangia,""
Italy,Veneto,Valpolicella Ripasso Valpantena Superiore,""
Italy,Sicily & Sardinia,Sicilia,""
Austria,Kamptal,"",""
US,California,Spring Mountain District,Napa
Italy,Tuscany,Vino Nobile di Montepulciano,""
France,Burgundy,Mâcon-Cruzille,""
France,Southwest France,Fronton,""
Italy,Veneto,Recioto della Valpolicella Classico,""
France,Burgundy,Mâcon La Roche Vineuse,""
Italy,Tuscany,Monteregio di Massa Marittima,""
Portugal,Vinho Espumante,"",""
Greece,Amyndeon,"",""
France,Burgundy,Mâcon-Fuissé,""
France,Languedoc-Roussillon,La Clape,""
Italy,Southern Italy,Paestum,""
Australia,Victoria,Yarra Valley,""
Italy,Veneto,Valpolicella Superiore,""
France,Languedoc-Roussillon,Rivesaltes,""
Australia,Australia Other,South Eastern Australia,""
Italy,Veneto,Prosecco del Veneto,""
US,Colorado,Colorado,""
Austria,Weinviertel,"",""
Portugal,Portugal,"",""
France,Rhône Valley,Hermitage,""
Ukraine,Ukraine,"",""
Spain,Catalonia,Costers del Segre,""
Turkey,Elazığ,"",""
Greece,Lesbos,"",""
Italy,Southern Italy,Nardò,""
US,California,Napa County,Napa
Italy,Piedmont,Ruché di Castagnole Monferrato,""
US,California,Nevada County,Sierra Foothills
Greece,Lakonia,"",""
France,Rhône Valley,Vin Doux Naturel Rasteau,""
Italy,Central Italy,Sangiovese di Romagna Superiore,""
Hungary,Tokaj,"",""
US,California,Monterey-Santa Barbara,Central Coast
Italy,Piedmont,Piemonte,""
Spain,Central Spain,Ribera del Júcar,""
Italy,Central Italy,Rosso Piceno Superiore,""
Italy,Southern Italy,Murgia,""
Italy,Lombardy,Valtènesi,""
France,Burgundy,Mâcon-Vinzelles,""
US,Washington,Walla Walla Valley (WA),Columbia Valley
Italy,Tuscany,Montescudaio,""
France,Burgundy,Corton Vergennes,""
France,Loire Valley,Touraine Amboise,""
France,France Other,Côtes de Forez,""
US,California,Mendocino-Solano,North Coast
New Zealand,Martinborough Terrace,"",""
France,Burgundy,Chambertin Clos de Bèze,""
France,Rhône Valley,Côte Rôtie,""
Italy,Southern Italy,Falerno del Massico,""
US,California,North Coast,North Coast
Italy,Southern Italy,Epomeo,""
Greece,Letrinon,"",""
US,California,Arroyo Seco,Central Coast
Spain,Galicia,Ribeiro,""
US,New York,North Fork of Long Island,Long Island
France,Southwest France,Côtes du Lot,""
Italy,Northeastern Italy,Rosazzo,""
US,Washington-Oregon,"",""
France,Southwest France,Jurançon Sec,""
US,California,Yorkville Highlands,North Coast
France,Burgundy,Côte Chalonnaise,""
Romania,Recas,"",""
Italy,Veneto,Bardolino Superiore,""
France,Languedoc-Roussillon,Côtes de Thongue,""
Italy,Northeastern Italy,Ramandolo,""
US,California,Sonoma,""
France,Languedoc-Roussillon,Vin de Pays des Coteaux de Bessilles,""
France,Languedoc-Roussillon,Vin de Pays des Collines de la Moure,""
Spain,Central Spain,La Mancha,""
South Africa,Swartland,"",""
France,Burgundy,Aloxe-Corton,""
France,Loire Valley,Coteaux du Layon,""
Italy,Southern Italy,Calabria,""
Spain,Levante,Bullas,""
Argentina,Other,Tulum Valley,""
Italy,Northeastern Italy,"",""
US,California,San Bernabe,Central Coast
US,California,Sonoma County-Napa County,Napa-Sonoma
France,Bordeaux,Saint-Croix-du-Mont,""
US,Texas,"",""
France,Bordeaux,Moulis,""
France,Beaujolais,Fleurie,""
Italy,Central Italy,Rosso Piceno,""
Italy,Piedmont,Gattinara,""
US,California,Suisun Valley,North Coast
US,California,Kelsey Bench-Lake County,""
Italy,Tuscany,Vermentino di Toscana,""
US,Kentucky,Kentucky,""
US,California,Napa-Sonoma-Marin,North Coast
Spain,Northern Spain,Campo de Borja,""
Spain,Northern Spain,Somontano,""
Italy,Central Italy,Albana di Romagna,""
Austria,Wagram,"",""
Italy,Sicily & Sardinia,Vermentino di Gallura,""
Italy,Southern Italy,Colli di Salerno,""
France,Rhône Valley,Collines Rhôdaniennes,""
France,Burgundy,Mâcon-Lugny,""
Italy,Tuscany,Vin Santo di Montepulciano,""
Spain,Central Spain,Finca Élez,""
France,Rhône Valley,Châteauneuf-du-Pape,""
France,Bordeaux,Margaux,""
Italy,Sicily & Sardinia,Salina,""
France,Southwest France,Bergerac Rosé,""
Greece,Macedonia,"",""
US,California,Mt. Harlan,Central Coast
Italy,Northeastern Italy,Trentino Superiore,""
Croatia,Dalmatian Coast,"",""
France,Loire Valley,Vin de Pays du Val de Loire,""
Spain,Spanish Islands,Vi de la Terra Illes Balears,""
Romania,Dealurile Hușilor,"",""
France,Provence,Palette,""
US,California,McDowell Valley,Mendocino/Lake Counties
South Africa,Cape South Coast,"",""
Italy,Southern Italy,Rosso di Cerignola,""
France,Loire Valley,Quincy,""
Morocco,Morocco,"",""
Spain,Andalucia,Vino de la Tierra Altiplano de Sierra Nevada,""
Italy,Veneto,Colli Asolani Prosecco,""
Greece,Greece,"",""
New Zealand,New Zealand,"",""
France,Burgundy,Petit Chablis,""
Uruguay,Progreso,"",""
Hungary,Hungary,"",""
South Africa,Groenekloof,"",""
France,Languedoc-Roussillon,Maury Sec,""
France,Loire Valley,Coteaux de l'Aubance,""
France,Bordeaux,Bordeaux Blanc,""
Chile,Aconcagua Valley,"",""
Chile,Leyda Valley,"",""
Italy,Veneto,Soave Classico,""
Austria,Carnuntum,"",""
Portugal,Bairrada,"",""
US,New York,Seneca Lake,Finger Lakes
Australia,Victoria,Victoria,""
South Africa,Robertson,"",""
Portugal,Setubal,"",""
US,Washington,Ancient Lakes,Columbia Valley
US,California,Northern Sonoma,Sonoma
US,New York,Niagara Escarpment,New York Other
France,Loire Valley,Cabernet d'Anjou,""
Italy,Central Italy,Colli Martani,""
Australia,Victoria,Gippsland,""
Chile,Cachapoal Valley,"",""
Italy,Tuscany,Rosso di Montepulciano,""
Australia,Victoria,Heathcote,""
France,Burgundy,Pernand-Vergelesses,""
Italy,Southern Italy,Pompeiano,""
Australia,South Australia,McLaren Vale-Padthaway,""
Italy,Sicily & Sardinia,Passito di Noto,""
France,Languedoc-Roussillon,Vin de Pays de Caux,""
Italy,Veneto,Valpolicella Classico Superiore Ripasso,""
Italy,Southern Italy,Basilicata,""
Australia,Victoria,Rutherglen,""
France,Burgundy,Bourgogne Hautes Côtes de Nuits,""
Italy,Veneto,Valpolicella Valpantena,""
US,California,Humboldt County,North Coast
France,France Other,Arbois,""
Italy,Sicily & Sardinia,Nuragus di Cagliari,""
Italy,Tuscany,Montecarlo,""
France,Languedoc-Roussillon,Vin de Pays des Sables du Golfe du Lion,""
France,Burgundy,Clos de Vougeot,""
Canada,Ontario,Beamsville Bench,""
Italy,Central Italy,Orvieto Classico,""
Italy,Central Italy,Rosso Conero,""
Spain,Northern Spain,Ribera del Queiles,""
Australia,New South Wales,Western Plains,""
France,Southwest France,Côtes du Frontonnais,""
Greece,Ilia,"",""
Spain,Central Spain,Toledo,""
France,Loire Valley,Coteaux du Layon Beaulieu,""
US,Iowa,Iowa,""
US,California,Santa Clara Valley,Central Coast
France,Bordeaux,Saint-Estèphe,""
Italy,Piedmont,Gavi,""
Italy,Central Italy,Lambrusco di Sorbara,""
US,Nevada,Nevada,""
US,California,Howell Mountain,Napa
Italy,Piedmont,Alta Langa,""
US,California,Sonoma Valley,Sonoma
Italy,Italy Other,Vino Spumante,""
US,Oregon,Elkton Oregon,Southern Oregon
France,Languedoc-Roussillon,Côtes du Roussillon Villages,""
Italy,Southern Italy,Vesuvio,""
Germany,Mittelrhein,"",""
Switzerland,Vino da Tavola della Svizzera Italiana,"",""
US,California,Sonoma Mountain,Sonoma
US,California,Adelaida District,Central Coast
Spain,Northern Spain,Vino de la Tierra de Castilla y León,""
France,Provence,Les Baux de Provence,""
Israel,Jerusalem Hills,"",""
Bosnia and Herzegovina,Mostar,"",""
US,Vermont,Vermont,""
Italy,Piedmont,Dolcetto di Dogliani Superiore,""
Italy,Northeastern Italy,Friuli Venezia Giulia,""
Portugal,Távora-Varosa,"",""
US,California,Lime Kiln Valley,Central Coast
Australia,Western Australia,Mount Barker,""
Italy,Southern Italy,Aglianico del Beneventano,""
Italy,Piedmont,Verduno,""
Italy,Tuscany,Chianti,""
Italy,Veneto,Valpolicella Classico Superiore,""
Turkey,Thrace,"",""
Australia,Victoria,Swan Hill,""
Italy,Veneto,Arcole,""
US,Oregon,"",""
Chile,Maipo Valley,"",""
Israel,Galilee,"",""
US,Oregon,Willamette Valley,""
France,Southwest France,Montravel,""
Austria,Südsteiermark,"",""
Peru,Ica,"",""
New Zealand,Omaka Valley,"",""
France,Languedoc-Roussillon,Maury,""
Italy,Veneto,Lison-Pramaggiore,""
Italy,Tuscany,Moscadello di Montalcino,""
Italy,Veneto,Venezia,""
France,Southwest France,Béarn,""
Portugal,Terras do Dão,"",""
Australia,Victoria,Grampians,""
US,California,Edna Valley,Central Coast
US,Oregon,Polk County,Oregon Other
Italy,Central Italy,Falerio dei Colli Ascolani,""
Israel,Golan Heights,"",""
Italy,Southern Italy,Copertino,""
Italy,Northeastern Italy,Collio,""
US,California,Lodi,Central Valley
Portugal,Lisboa,"",""
US,California,Central Coast,""
Argentina,Mendoza Province,Medrano,""
France,Bordeaux,Moulis-en-Médoc,""
South Africa,Eilandia,"",""
US,California,Yolo County,Central Valley
Australia,New South Wales,Hunter Valley,""
Spain,Northern Spain,Tierra de León,""
Italy,Northeastern Italy,Grave del Friuli,""
Italy,Piedmont,Strevi,""
Australia,Victoria,Goulburn Valley,""
France,Burgundy,Mâcon-Prissé,""
Greece,Lemnos,"",""
Chile,Bío Bío Valley,"",""
US,California,Temecula Valley,South Coast
France,Languedoc-Roussillon,Muscat de Rivesaltes,""
Argentina,Other,Jujuy,""
Italy,Southern Italy,Costa d'Amalfi,""
US,California,North Coast,""
India,Nashik,"",""
France,Bordeaux,Vin de Pays de l'Atlantique,""
