id_region,lat,lon,radiationId,radiationAvg
674,32.8616632,35.2640128,260,18.80666667
675,38.2971367,-122.2855293,441,18.57
676,46.7031249,12.3548006,270,12.94916667
677,44.841225,-0.5800364,163,13.02166667
678,38.7594573,-3.3847392,360,16.8325
679,0,0,389,19.14
680,47.1982294,16.411415,248,12.15166667
681,38.2971367,-122.2855293,441,18.57
682,0,0,389,19.14
683,39.6639818,20.8522784,313,13.54166667
684,44.669043,8.258442,274,14.3075
685,45.4569775,10.1462625,280,12.80666667
686,-33.3723648,-69.1479533,4,16.46666667
687,49.2201995,16.5189757,129,11.51083333
688,0,0,389,19.14
689,-34.6403243,-71.3661297,103,11.15833333
690,29.03970805,-13.63629161,389,19.14
691,-25.6270251,29.237252,342,18.71333333
692,39.3565832,-120.1821578,441,18.57
693,31.6723455,-110.6619555,439,20.49
694,45.3442868,-122.6670374,474,12.66
695,45.4559451,5.5192803,174,13.15
696,-33.3117096,151.3120675,28,18.34666667
697,41.8880387,-8.5542415,394,14.335
698,41.3527628,-1.6422977,397,16.39416667
699,48.1426648,16.9575167,335,11.76333333
700,47.25417435,-0.066185389,196,12.0275
701,46.1125998,4.7301906,175,12.2625
702,0,0,389,19.14
703,40.28948215,23.40939243,246,15.715
704,-11.3299555,-67.6954911,102,21.7525
705,0,0,389,19.14
706,0,0,389,19.14
707,38.0692748,21.87273042,246,15.715
708,-33.3117096,151.3120675,28,18.34666667
709,-36.7930971,175.088401,322,13.87916667
710,37.5603691,15.0617632,275,16.42583333
711,43.1739813,16.55647207,29,12.57416667
712,38.5110803,-122.8473388,441,18.57
713,48.8291991,-0.714052069,166,11.07916667
714,40.06160405,9.097753807,264,15.0275
715,42.18808965,9.068413771,159,15.84333333
716,0,0,389,19.14
717,46.3869887,4.7516351,175,12.2625
718,46.7966369,4.7494197,175,12.2625
719,-34.9853329,-71.2394072,103,11.15833333
720,32.7469891,-117.2516124,443,18.09
721,40.2253569,-82.6881395,100,12.52416667
722,39.3565832,-120.1821578,441,18.57
723,0,0,389,19.14
724,43.4677993,11.0432115,281,14.45916667
725,-23.0053563,-43.3297952,4,16.46666667
726,38.8420973,-7.5871415,354,17.42333333
727,38.6136138,-1.1156761,376,17.46666667
728,45.4548329,9.2136403,276,11.37666667
729,-34.5242373,-56.2817519,4,16.46666667
730,40.9704298,-4.3796261,393,16.245
731,41.737352,45.6721781,202,12.4025
732,0,0,389,19.14
733,39.381732,17.0613529,265,14.3425
734,0,0,389,19.14
735,0,0,389,19.14
736,43.7152761,3.488880169,181,15.23
737,34.79489125,32.98558938,124,18.74333333
738,0,0,389,19.14
739,38.8379348,0.1021294,391,16.05583333
740,38.5110803,-122.8473388,441,18.57
741,-33.3205864,-71.4100762,102,21.7525
742,0,0,389,19.14
743,36.9809772,14.5505655,272,17.32
744,43.9016766,1.8967943,179,13.82083333
745,40.0757384,-74.4041622,470,14.28
746,41.209752,-122.2716101,473,15.72
747,45.5625404,-122.6665296,474,12.66
748,36.9514957,14.5304867,272,17.32
749,43.4069838,3.509504,181,15.23
750,-32.8332395,-55.5302431,4,16.46666667
751,52.4760892,-71.8258668,60,10.51583333
752,0,0,389,19.14
753,33.58458185,-111.8089768,438,20.64
754,47.1667182,0.2402095,196,12.0275
755,-33.3117096,151.3120675,28,18.34666667
756,0,0,389,19.14
757,46.2119329,4.7190138,175,12.2625
758,37.3399964,-4.5811614,361,16.78666667
759,47.5353456,21.56437286,337,11.31083333
760,45.8810201,5.1383614,174,13.15
761,0,0,389,19.14
762,0,0,389,19.14
763,0,0,389,19.14
764,46.9466831,4.7373286,170,12.18416667
765,38.2660243,20.53730065,313,13.54166667
766,0,0,389,19.14
767,40.0113483,22.1352342,246,15.715
768,42.7824434,12.4062554,279,13.53666667
769,0,0,389,19.14
770,0,0,389,19.14
771,0,0,389,19.14
772,0,0,389,19.14
773,0,0,389,19.14
774,41.684672,14.595614,267,14.89166667
775,32.7469891,-117.2516124,443,18.09
776,45.7081441,11.5647668,289,12.89166667
777,47.2843794,0.1256895,196,12.0275
778,47.4013892,4.1072943,160,11.5575
779,34.0007493,-81.0343313,478,16.56
780,-23.0053563,-43.3297952,4,16.46666667
781,-32.9451452,-60.7279173,4,16.46666667
782,42.5364691,12.0276094,291,15.23083333
783,-33.3117096,151.3120675,28,18.34666667
784,0,0,389,19.14
785,45.03685465,9.137825083,276,11.37666667
786,-41.1499965,147.0671858,17,15.2725
787,41.44389565,1.188511332,370,16.25916667
788,40.8049481,8.569909699,159,15.84333333
789,0,0,389,19.14
790,47.5077338,1.1220406,196,12.0275
791,0,0,389,19.14
792,0,0,389,19.14
793,36.7014631,-118.7559974,441,18.57
794,-33.3117096,151.3120675,28,18.34666667
795,0,0,389,19.14
796,38.29501795,-122.4759997,441,18.57
797,0,0,389,19.14
798,0,0,389,19.14
799,0,0,389,19.14
800,41.352318,13.953717,273,15.625
801,45.5305976,14.7033187,340,11.97916667
802,0,0,389,19.14
803,0,0,389,19.14
804,0,0,389,19.14
805,37.96299085,22.73334237,246,15.715
806,44.0648317,7.7882552,274,14.3075
807,45.5154895,12.6765329,287,12.69833333
808,47.7095043,16.0211773,248,12.15166667
809,0,0,389,19.14
810,47.3881023,0.8269289,196,12.0275
811,0,0,389,19.14
812,0,0,389,19.14
813,0,0,389,19.14
814,0,0,389,19.14
815,-33.3117096,151.3120675,28,18.34666667
816,-37.32798315,143.4240561,23,15.2975
817,0,0,389,19.14
818,47.21640375,4.970988372,170,12.18416667
819,40.1584206,24.3272583,246,15.715
820,45.1860043,9.1546375,276,11.37666667
821,45.4386066,10.5979325,289,12.89166667
822,35.2788061,24.93428854,416,16.34833333
823,0,0,389,19.14
824,0,0,389,19.14
825,0,0,389,19.14
826,52.1176879,11.638457,223,10.45416667
827,46.9895828,6.9292641,405,11.88833333
828,0,0,389,19.14
829,44.0119,4.69927,168,15.39833333
830,37.7510251,14.9940321,275,16.42583333
831,0,0,389,19.14
832,33.6810179,35.84169882,308,17.37583333
833,48.8916709,2.2540698,186,11.13833333
834,-33.3117096,151.3120675,28,18.34666667
835,0,0,389,19.14
836,39.9207456,32.8540905,411,14.30166667
837,47.065556,15.4518867,117,11.46333333
838,44.791815,-0.6577001,163,13.02166667
839,-34.41561915,148.5634257,28,18.34666667
840,-33.32924175,149.1081466,28,18.34666667
841,31.8160381,-99.5120986,484,17.85
842,0,0,389,19.14
843,-34.9990365,-71.3817116,103,11.15833333
844,46.9455125,4.7384962,170,12.18416667
845,0,0,389,19.14
846,0,0,389,19.14
847,0,0,389,19.14
848,0,0,389,19.14
849,45.8133113,14.4808369,340,11.97916667
850,33.5950627,-7.6187768,321,18.72833333
851,46.2331191,5.3544518,175,12.2625
852,-41.5635411,173.5314071,322,13.87916667
853,46.5608687,2.1962014,164,12.14666667
854,-33.3117096,151.3120675,28,18.34666667
855,0,0,389,19.14
856,0,0,389,19.14
857,38.353738,-0.4901846,350,16.88583333
858,33.58458185,-111.8089768,438,20.64
859,43.6881371,-89.0494254,489,14.1
860,0,0,389,19.14
861,44.2226017,12.0409384,268,12.6425
862,-33.3117096,151.3120675,28,18.34666667
863,39.3680634,-9.187304366,326,17.3475
864,35.2182804,25.1921764,416,16.34833333
865,41.85941065,20.01813367,3,14.40916667
866,43.1357717,5.7523647,176,15.80583333
867,0,0,389,19.14
868,41.6757169,-3.715791489,393,16.245
869,0,0,389,19.14
870,0,0,389,19.14
871,0,0,389,19.14
872,44.0372,4.69136,168,15.39833333
873,10.691262,-61.55434593,477,19.11
874,38.2217528,15.6344488,275,16.42583333
875,0,0,389,19.14
876,38.5110803,-122.8473388,441,18.57
877,45.61244435,10.05328133,280,12.80666667
878,-33.3117096,151.3120675,28,18.34666667
879,46.2029456,4.727418126,175,12.2625
880,34.0007493,-81.0343313,478,16.56
881,40.51703795,22.18071973,246,15.715
882,41.77857805,1.890343429,356,15.84583333
883,0,0,389,19.14
884,-10.3333333,-53.2,102,21.7525
885,0,0,389,19.14
886,50.2543216,7.46444098,210,9.856666667
887,39.3565832,-120.1821578,441,18.57
888,-41.47447475,173.8330263,322,13.87916667
889,46.4358751,5.3421832,175,12.2625
890,43.2752976,11.9850623,279,13.53666667
891,47.0668663,4.8872591,170,12.18416667
892,0,0,389,19.14
893,44.2365873,1.7689625,179,13.82083333
894,0,0,389,19.14
895,0,0,389,19.14
896,43.4586541,11.1389204,281,14.45916667
897,-23.0053563,-43.3297952,4,16.46666667
898,-33.3117096,151.3120675,28,18.34666667
899,37.751428,-87.139672,479,15.72
900,39.3565832,-120.1821578,441,18.57
901,45.6942819,10.9755218,289,12.89166667
902,39.0647986,16.1649047,275,16.42583333
903,0,0,389,19.14
904,38.198077,-95.3067461,460,15.27
905,43.2340065,10.6179334,281,14.45916667
906,43.0690597,13.1492771,284,13.34666667
907,37.82133,22.6622062,246,15.715
908,37.2454248,-8.150925273,324,19.06166667
909,44.1013323,11.9623423,268,12.6425
910,0,0,389,19.14
911,0,0,389,19.14
912,0,0,389,19.14
913,36.688463,23.0516857,246,15.715
914,-33.64019,115.3748,20,21.0575
915,43.2069251,3.0770387,189,14.73333333
916,0,0,389,19.14
917,47.0087919,4.7962295,170,12.18416667
918,33.8439408,9.400138,409,17.255
919,0,0,389,19.14
920,44.00996945,-0.643387235,188,12.78833333
921,-33.5146115,150.8666465,28,18.34666667
922,40.81075705,-7.492524332,327,14.8075
923,-30.6382918,-71.283904,102,21.7525
924,42.61254875,-1.830787683,379,15.04666667
925,-34.5659957,146.0002828,28,18.34666667
926,-34.51260725,138.4438283,13,18.075
927,46.9110621,4.655791,170,12.18416667
928,47.6594864,-0.8186143,183,12.37916667
929,37.3660757,-81.6478197,463,15.81
930,46.0672017,4.5998139,175,12.2625
931,36.9727671,14.5519145,272,17.32
932,-33.8333914,138.6120042,13,18.075
933,43.3126281,2.6608686,167,13.86916667
934,41.7211706,-79.5375503,476,13.62
935,38,-121.4,441,18.57
936,0,0,389,19.14
937,39.3565832,-120.1821578,441,18.57
938,47.6803063,16.5983457,248,12.15166667
939,39.7525193,20.6490235,313,13.54166667
940,40.7696272,44.6736646,11,13.09916667
941,34.0007493,-81.0343313,478,16.56
942,42.6384261,12.674297,284,13.34666667
943,45.18937235,13.91819614,286,13.0925
944,46.05472,13.251754,287,12.69833333
