id,place,lat,lon
50,"Bramaterra,Italy",45.6312734,8.3012197
51,"Rose+de+Loire,France",47.1947627,2.3785761
52,"Lambrusco+Salamino+di+Santa+Croce,Italy",0,0
53,"Krk,Croatia",45.09019545,14.5496681077068
54,"Morellino+di+Scansano,Italy",42.71255365,11.2280516033925
55,"Napa,US",38.2971367,-122.2855293
56,"Coteaux+d'Aix-en-Provence,France",0,0
57,"Corbieres,France",48.421579,4.0481776
58,"Cuyo,Argentina",-38.6954269,-62.2812182
59,"Colli+di+Luni,Italy",0,0
60,"Guenoc+Valley,US",38.792,-122.570971
61,"San+Marino,Italy",45.8983636,11.6927814
62,"Haut-Poitou,France",44.7779286,-0.0573366
63,"Barbera+di+Piemonte,Italy",44.3641374,7.3660814
64,"Sancerre,France",47.3307251,2.8390333
65,"Valpolicella+Superiore+Ripasso,Italy",0,0
66,"Saint-Chinian,France",43.4215,2.94677
67,"Wellington,South+Africa",-33.643055,19.010556
68,"France+Other,France",0,0
69,"Lessona,Italy",45.5872701,8.1943371
70,"Ben+Lomond+Mountain,US",37.1309414,-122.1682351
71,"Landwein+Rhein,Germany",0,0
72,"Waitaki+Valley,New+Zealand",-44.9129104,170.9916306
73,"Lake-Sonoma-Napa,US",0,0
74,"Colonia,Uruguay",-34.4698592,-57.8433679
75,"Anderson+Valley-Sonoma+County-Cole+Ranch,US",0,0
76,"Rapel+Valley,Chile",-33.9434247,-71.7380794
77,"Saint-Joseph,France",-21.3789306,55.6190645
78,"Luberon,France",43.83143,5.7752136
79,"Vin+Santo+di+Carmignano,Italy",0,0
80,"Erice,Italy",38.0374278,12.5869952
81,"Napa-Mendocino-Sonoma-Marin,US",0,0
82,"Custoza,Italy",45.376982,10.7962743
83,"Val+de+Loire,France",45.4399177,4.3878221
84,"Madeira,Portugal",32.75174875,-16.9817520488474
85,"Bonnezeaux,France",47.078553,-0.8367639
86,"Trinity+County,US",40.6053256,-123.171268
87,"Torgiano,Italy",43.028542,12.44136
88,"Darling,South+Africa",-33.376426,18.379189
89,"Coteaux+de+Verdon,France",0,0
90,"Ilias,Greece",39.4591597,22.2130845
91,"Leverano,Italy",40.2894249,17.9994144
92,"Cafayate,Argentina",-26.071047,-65.9800655
93,"Vin+de+Pays+de+Vaucluse,France",0,0
94,"Negev+Hills,Israel",0,0
95,"Passito+di+Pantelleria,Italy",0,0
96,"Saint+Guilhem+le+Desert,France",43.734,3.54852
97,"Muscadet+Coteaux+de+la+Loire,France",0,0
98,"Lessini+Durello,Italy",0,0
99,"Santa+Barbara-Monterey,US",34.421814,-119.7269
100,"Chignin-Bergeron,France",0,0
101,"Delia+Nivolelli,Italy",0,0
102,"McLaren+Vale-Beechworth,Australia",0,0
103,"Niederosterreich,Austria",48.2817813,15.7632457
104,"Toscana,Italy",43.4586541,11.1389204
105,"Costieres+de+Nimes,France",43.8170759,4.360587
106,"Catalonia,Spain",41.8523094,1.5745043
107,"Pennsylvania,US",40.9699889,-77.7278831
108,"Costa+Toscana,Italy",44.2091823,10.2612037
109,"Frascati+Superiore,Italy",0,0
110,"Vin+Mousseux,France",0,0
111,"Hautes+Cotes+de+Nuits,France",0,0
112,"Conero,Italy",43.5520619,13.6053591
113,"Curico+and+Leyda+Valleys,Chile",0,0
114,"Tarragona,Spain",41.1172364,1.2546057
115,"Brachetto+d'Acqui,Italy",0,0
116,"Amindeo,Greece",0,0
117,"Southern+Highlands,Australia",-34.4706676,150.418404795804
118,"Macedon+Ranges,Australia",-37.2895759,144.458757020328
119,"Palmela,Portugal",38.6267848,-8.79263465961152
120,"Montagne-Saint-Emilion,France",44.9253754,-0.165846
121,"Sonoma+County-Lake+County,US",0,0
122,"Patagonia,Argentina",-44.99028505,-70.8173741354423
123,"Vin+de+Pays+Var,France",0,0
124,"Bourgueil,France",47.2827691,0.1788873
125,"Dolcetto+d'Asti,Italy",0,0
126,"Choapa+Valley,Chile",-31.7280122,-71.2080683
127,"Muzla,Slovakia",47.79697295,18.5771979853172
128,"Mount+Benson,Australia",-33.52941,120.07625
129,"Vin+de+Pays+de+Cotes+du+Tarn,France",0,0
130,"Colchagua+Valley,Chile",-34.548228,-71.4013194
131,"Coombsville,US",32.776853,-96.857517
132,"Pouilly-Loche,France",46.2784659,4.7688545
133,"Columbia+Valley-Walla+Walla+Valley,US",0,0
134,"Goriska+Brda,Slovenia",45.9977226,13.5273596
135,"Cour-Cheverny,France",47.512759,1.4588243
136,"Vino+de+Calidad+de+Tierras+de+Leon,Spain",0,0
137,"Pafos,Cyprus",34.9169592,32.4982122742881
138,"Drama,Greece",41.1499443,24.1468286
139,"Muscadet+Sevre+et+Maine+Clisson,France",0,0
140,"Niagara-On-The-Lake,Canada",43.2551115,-79.0714896
141,"Apalta,Chile",-34.6239248,-71.2671251
142,"Vin+de+Pays+du+Lot,France",0,0
143,"Colli+del+Limbara,Italy",0,0
144,"Jurancon,France",43.2871825,-0.3896425
145,"Blaye+Cotes+de+Bordeaux,France",0,0
146,"Vacqueyras,France",44.1382621,4.9823958
147,"La+Rioja,Argentina",-29.4127411,-66.8558795
148,"Neszmely,Hungary",47.7357694,18.3654526
149,"Commandaria,Cyprus",0,0
150,"Yadkin+Valley,US",36.0223527,-81.4900963
151,"Atalanti+Valley,Greece",38.6740264,23.0941149
152,"Yamhill+County,US",45.2298399,-123.2180414
153,"Mavrodaphne+of+Patras,Greece",0,0
154,"Northern+Cape,South+Africa",-29.573402,21.2051361
155,"Mendocino-Amador,US",0,0
156,"Lujan+de+Cuyo,Argentina",-33.1085238,-69.0129984
157,"Marche,Italy",43.3458388,13.1415872
158,"Champagne,France",48.0168,0.33179
159,"Dunnigan+Hills,US",34.4209397,-89.8270328
160,"Carmignano,Italy",45.1496279,11.6494087
161,"Murfatlar,Romania",44.170082,28.4011750863293
162,"Cotes+de+Duras,France",0,0
163,"Coteaux+du+Layon+Chaume,France",0,0
164,"Barossa+Valley-McLaren+Vale,Australia",0,0
165,"Langenlois,Austria",48.472601,15.676295
166,"Nasco+di+Cagliari,Italy",0,0
167,"Chambolle-Musigny,France",47.1864158,4.9533347
168,"Orcia,Italy",43.0200631,11.6087078
169,"Crozes-Hermitage,France",45.0907,4.84592
170,"Nelson,New+Zealand",-41.09940685,173.42887551844
171,"Veneto,Italy",45.6476663,11.8665254
172,"Macon-Uchizy,France",46.5122378,4.8982181
173,"Szekszard,Hungary",46.3484884,18.701663
174,"Missouri,US",38.7604815,-92.5617875
175,"Primitivo+di+Manduria,Italy",0,0
176,"Valle+d'Aosta,Italy",45.730099,7.387426
177,"Langhorne+Creek-Limestone+Coast,Australia",0,0
178,"Canada,Canada",62.50633655,-102.302225371634
179,"Corton+Perrieres,France",0,0
180,"Evia,Greece",38.046701,24.3251658
181,"Coteaux+du+Languedoc-Pezenas,France",0,0
182,"Vallee+du+Paradis,France",0,0
183,"Sovana,Italy",42.6570045,11.6465486
184,"Saint-Julien,France",43.70391165,5.91347750422945
185,"Galil,Israel",32.7930976,35.0148826
186,"Pangeon,Greece",0,0
187,"Fixin,France",47.2455008,4.9728452
188,"San+Clemente,Chile",-36.1906591,-71.7513657
189,"Nebbiolo+d'Alba,Italy",44.6945665,8.0141821
190,"Tokaji,Hungary",48.1658637,21.3813824260126
191,"Orvieto+Classico+Superiore,Italy",0,0
192,"Aglianico+del+Vulture,Italy",0,0
193,"Vin+de+Pays+de+Velvendo,Greece",0,0
194,"Kangaroo+Island,Australia",-32.623053,152.195082920909
195,"Vin+de+Pays+des+Coteaux+de+Peyriac,France",0,0
196,"Danube+River+Plains,Bulgaria",0,0
197,"Vin+de+Pays+des+Cotes+de+Thongue,France",0,0
198,"Laudun,France",44.1056956,4.657231
199,"Chaume,France",47.569832,5.3511733
200,"Helderberg,South+Africa",-34.0494444,18.8344444
201,"Pouilly-Fume,France",0,0
202,"Barossa,Australia",-34.61341495,138.938545516936
203,"Serra+Gaucha,Brazil",-29.354907,-50.1726428
204,"Dolcetto+di+Dogliani,Italy",0,0
205,"Noto,Italy",36.8908864,15.0706454
206,"The+Hamptons,+Long+Island,US",0,0
207,"Germany,Germany",51.0834196,10.4234469
208,"El+Dorado+County,US",38.7574137,-120.5276129
209,"Clos+de+Tart,France",47.1956198,4.95958853929336
210,"Cyclades,Greece",36.4106263,25.4436646
211,"Colinele+Dobrogei,Romania",0,0
212,"Vin+de+Pays+des+Pyrenees+Orientales,France",0,0
213,"Western+Australia,Australia",-25.2303005,121.0187246
214,"Australia,Australia",-24.7761086,134.755
215,"Vin+de+Savoie,France",45.5002411,6.0608775
216,"Lamezia,Italy",38.9391666,16.2634823
217,"Southeastern+New+England,US",0,0
218,"Lebanon,Lebanon",33.8750629,35.843409
219,"Apremont,France",45.5132,5.95937
220,"Cilento,Italy",40.2195354,15.1771512
221,"Breedekloof,South+Africa",0,0
222,"San+Diego+County,US",32.9637838,-116.7706277
223,"California+Other,US",39.3565832,-120.1821578
224,"Liguria,Italy",44.4777617,8.7026296
225,"Attica,Greece",36.2131891,22.9858147033295
226,"Vin+de+Pays+du+Gard,France",0,0
227,"Menfi,Italy",37.606639,12.967843
228,"Vino+de+Calidad+de+Valtiendas,Spain",0,0
229,"Messinia,Greece",37.04379965,22.1133698051536
230,"Lazio,Italy",41.9808038,12.7662312
231,"Marca+Trevigiana,Italy",0,0
232,"Mantinia,Greece",36.9535613,22.1580433
233,"Samson,Israel",31.9254929,34.8702683
234,"Matra,Hungary",47.8857587,19.9507190857086
235,"Casorzo,Italy",45.0233901,8.3345031
236,"Stirling,New+Zealand",-46.2460264,169.7827317
237,"Big+Valley+District-Lake+County,US",0,0
238,"Martina,Italy",40.8290824,15.1676079
239,"Santa+Barbara+County,US",34.7136533,-119.9858232
240,"Rubicone,Italy",44.0933443,12.3960576
241,"Guerrouane,Morocco",0,0
242,"Hawke's+Bay,New+Zealand",-39.4343279,176.7652742
243,"Pemberton,Australia",-34.4441275,116.0346584
244,"Redwood+Valley,US",39.2654449,-123.2044496
245,"Macon-Davaye,France",46.2989681,4.7653692
246,"Alenquer,Portugal",39.056633,-9.0076057
247,"Irancy,France",47.7132623,3.6653566
248,"Langhorne+Creek,Australia",-35.295938,139.0364451
249,"Rockpile,US",30.7059791,-104.2149139
250,"Cotes+de+Castillon,France",0,0
251,"Valle+de+Guadalupe+and+Santo+Tomas,Mexico",0,0
252,"San+Francisco+Bay-Livermore+Valley,US",0,0
253,"Beaujolais,France",45.5906506,5.9179924
254,"Clos+Saint-Denis,France",47.1671118,4.9531946
255,"Vale+dos+Vinhedos,Brazil",-29.18157965,-51.5832778013059
256,"Jidvei,Romania",46.2224475,24.1106119
257,"Central+Valley,Chile",-18.3602663,-69.9587813
258,"Oregon,US",43.9792797,-120.737257
259,"Loire+Valley,France",45.75385355,4.0454736825511
260,"Squinzano,Italy",40.436528,18.04182
261,"Cotes+de+Provence,France",43.4366788,6.65423340680515
262,"Rheinhessen,Germany",49.9045181,8.2711082
263,"Amador+County,US",38.449089,-120.5911018
264,"Delle+Venezie,Italy",45.34851865,11.9571797053629
265,"Verdicchio+dei+Castelli+di+Jesi+Classico,Italy",0,0
266,"San+Rafael,Argentina",-34.6126025,-68.330514
267,"Coste+della+Sesia,Italy",0,0
268,"Dolcetto+d'Acqui,Italy",0,0
269,"Vin+de+Pays+des+Cotes+de+Thau,France",0,0
270,"Coteaux+du+Languedoc+Pic+Saint+Loup,France",0,0
271,"Sonoma-Napa-Lake,US",38.29501795,-122.475999659626
272,"Mazoyeres-Chambertin,France",47.2069405,4.96749330168809
273,"Griotte-Chambertin,France",47.21420335,4.96863546033135
274,"Almansa,Spain",38.8682065,-1.0978627
275,"Valpolicella,Italy",45.5296706,10.9400217
276,"Saint-Georges-Saint-Emilion,France",0,0
277,"Outer+Coastal+Plain,US",28.4010173,-82.5469092
278,"Sta.+Rita+Hills,US",14.6883714,120.9632867
279,"Rio+Claro,Chile",-37.2046363,-72.3576015
280,"Knights+Valley,US",28.0764068,-82.137586
281,"Colline+Teatine,Italy",0,0
282,"Hames+Valley,US",35.8683181,-120.8667825
283,"Napa-Mendocino-Sonoma,US",0,0
284,"Adelaide+Hills,Australia",-34.90135165,138.829320281746
285,"Baden,Germany",52.9996895,9.0801053
286,"Terre+del+Volturno,Italy",0,0
287,"Paicines,US",36.7285708,-121.2785409
288,"Piccadilly+Valley,Australia",-34.9822479,138.7262528
289,"Blanquette+de+Limoux,France",42.966765,2.1817641
290,"Monterey-Santa+Barbara-Sonoma,US",0,0
291,"Clos+de+Lambrays,France",47.19806455,4.95900207990256
292,"Castelli+Romani,Italy",44.87241305,7.30736708204931
293,"Devon+Valley,South+Africa",-26.3572222,28.7816667
294,"Priorat,Spain",41.2137983,0.811623628426715
295,"Willamette+Valley,US",45.3442868,-122.6670374
296,"Calaveras+County,US",38.2558181,-120.4981492
297,"Verdicchio+di+Matelica,Italy",43.2185295,12.9872027
298,"Umbria,Italy",42.965916,12.490236
299,"Prosecco+di+Valdobbiadene,Italy",45.8734603,12.0275133
300,"Curtefranca,Italy",0,0
301,"Curico+and+Maipo+Valleys,Chile",0,0
302,"Valpolicella+Ripasso,Italy",0,0
303,"Vino+de+la+Tierra+de+Cadiz,Spain",0,0
304,"Cote+de+Brouilly,France",46.0893824,4.6470174
305,"Cesanese+del+Piglio,Italy",0,0
306,"Vino+de+la+Tierra+del+Bajo+Aragon,Spain",0,0
307,"St.-Veran,France",44.6993395,6.8687131
308,"Vin+de+Pays+des+Collines+Rhodaniennes,France",0,0
309,"Niagara+Escarpment,Canada",43.6365799,-79.9940653
310,"Sardon+de+Duero,Spain",41.6085193,-4.4339323
311,"Romania,Romania",45.9852129,24.6859225
312,"Marin+County,US",38.0409144,-122.6199638
313,"Canterbury,New+Zealand",-43.49417615,171.809844758414
314,"Tierra+de+Castilla,Spain",41.9533522,-3.4780483
315,"Alto+Valle+de+Uco,Argentina",0,0
316,"Mavrodaphne+de+Cephalonie,Greece",0,0
