id,place,lat,lon
99,"Lessini+Durello,Italy",0,0
100,"North+Coast,US",-23.0053563,-43.3297952
101,"Chignin-Bergeron,France",0,0
102,"Delia+Nivolelli,Italy",0,0
103,"McLaren+Vale-Beechworth,Australia",0,0
104,"Niederosterreich,Austria",48.2817813,15.7632457
105,"Toscana,Italy",43.4586541,11.1389204
106,"Costieres+de+Nimes,France",43.8170759,4.360587
107,"Catalonia,Spain",41.8523094,1.5745043
108,"Pennsylvania,US",40.9699889,-77.7278831
109,"Costa+Toscana,Italy",44.2091823,10.2612037
110,"Frascati+Superiore,Italy",0,0
111,"Vin+Mousseux,France",0,0
112,"Hautes+Cotes+de+Nuits,France",0,0
113,"Conero,Italy",43.5520619,13.6053591
114,"Curico+and+Leyda+Valleys,Chile",0,0
115,"Tarragona,Spain",41.1172364,1.2546057
116,"Brachetto+d'Acqui,Italy",0,0
117,"Amindeo,Greece",0,0
118,"Southern+Highlands,Australia",-34.4706676,150.4184048
119,"Macedon+Ranges,Australia",-37.2895759,144.458757
120,"Palmela,Portugal",38.6267848,-8.79263466
121,"Montagne-Saint-Emilion,France",44.9253754,-0.165846
122,"North+Coast,US",-23.0053563,-43.3297952
123,"Patagonia,Argentina",-44.99028505,-70.81737414
124,"Vin+de+Pays+Var,France",0,0
125,"Bourgueil,France",47.2827691,0.1788873
126,"Dolcetto+d'Asti,Italy",0,0
127,"Choapa+Valley,Chile",-31.7280122,-71.2080683
128,"Muzla,Slovakia",47.79697295,18.57719799
129,"Mount+Benson,Australia",-33.52941,120.07625
130,"Vin+de+Pays+de+Cotes+du+Tarn,France",0,0
131,"Colchagua+Valley,Chile",-34.548228,-71.4013194
132,"Napa,US",38.2971367,-122.2855293
133,"Pouilly-Loche,France",46.2784659,4.7688545
134,"Columbia+Valley,US",34.0007493,-81.0343313
135,"Goriska+Brda,Slovenia",45.9977226,13.5273596
136,"Cour-Cheverny,France",47.512759,1.4588243
137,"Vino+de+Calidad+de+Tierras+de+Leon,Spain",0,0
138,"Pafos,Cyprus",34.9169592,32.49821227
139,"Drama,Greece",41.1499443,24.1468286
140,"Muscadet+Sevre+et+Maine+Clisson,France",0,0
141,"Niagara-On-The-Lake,Canada",43.2551115,-79.0714896
142,"Apalta,Chile",-34.6239248,-71.2671251
143,"Vin+de+Pays+du+Lot,France",0,0
144,"Colli+del+Limbara,Italy",0,0
145,"Jurancon,France",43.2871825,-0.3896425
146,"Blaye+Cotes+de+Bordeaux,France",0,0
147,"Vacqueyras,France",44.1382621,4.9823958
148,"La+Rioja,Argentina",-29.4127411,-66.8558795
149,"Neszmely,Hungary",47.7357694,18.3654526
150,"Commandaria,Cyprus",0,0
151,"Yadkin+Valley,US",36.0223527,-81.4900963
